scene_num,gloss_cat,specular_magnitude,specular_concentration,bump_height,albedo_r,albedo_g,albedo_b,camera_x,camera_z,rot_camera,skybox
scene001269,1,0.402,0.817,023.19,0.327,0.565,0.692,-08.55,007.5,-172.2,GareoultWhiteBalanced (UnityEngine.Material)
scene001270,1,0.369,0.796,068.47,0.345,0.643,0.372,-09.73,001.8,-105.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001271,1,0.492,0.924,090.02,0.543,0.312,0.488,-07.89,-002.9,-010.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001272,1,0.404,0.928,090.12,0.574,0.672,0.427,02.96,-001.1,145.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001273,0,0.135,0.343,064.05,0.507,0.403,0.481,03.45,000.4,111.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001274,0,0.291,0.388,063.19,0.312,0.610,0.657,02.00,-000.1,070.3,UniteWhiteBalanced (UnityEngine.Material)
scene001275,0,0.166,0.245,062.77,0.593,0.681,0.368,01.36,-009.5,-052.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001276,0,0.164,0.347,039.41,0.576,0.630,0.456,05.90,-009.2,-107.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001277,1,0.321,0.789,011.71,0.436,0.427,0.427,-06.45,-000.8,-016.2,GareoultWhiteBalanced (UnityEngine.Material)
scene001278,1,0.400,0.785,050.46,0.427,0.321,0.511,05.90,005.2,048.0,GareoultWhiteBalanced (UnityEngine.Material)
scene001279,1,0.380,0.788,045.75,0.337,0.317,0.606,-07.41,-001.5,042.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001280,1,0.391,0.837,043.18,0.459,0.456,0.518,-00.06,-006.9,049.3,GareoultWhiteBalanced (UnityEngine.Material)
scene001281,0,0.240,0.335,038.81,0.649,0.579,0.511,-08.62,-005.3,-080.7,UniteWhiteBalanced (UnityEngine.Material)
scene001282,0,0.160,0.334,078.08,0.505,0.485,0.306,04.47,000.7,078.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001283,1,0.367,0.766,012.03,0.414,0.642,0.577,-07.20,008.8,-084.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001284,1,0.341,0.796,021.42,0.627,0.463,0.341,-09.06,-005.6,-160.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001285,1,0.355,0.868,063.78,0.367,0.308,0.580,-02.07,-007.4,-101.4,UniteWhiteBalanced (UnityEngine.Material)
scene001286,0,0.221,0.398,027.78,0.346,0.429,0.624,-09.79,-009.4,043.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001287,1,0.376,0.811,007.90,0.571,0.610,0.407,-07.37,004.0,-073.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001288,1,0.416,0.894,096.46,0.309,0.655,0.450,-00.22,-005.1,-012.2,GareoultWhiteBalanced (UnityEngine.Material)
scene001289,0,0.111,0.213,044.33,0.361,0.446,0.512,-01.43,-007.3,176.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001290,0,0.188,0.216,043.57,0.548,0.630,0.534,-02.67,-001.8,-151.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001291,0,0.155,0.350,095.88,0.587,0.658,0.692,06.29,000.3,-034.3,UniteWhiteBalanced (UnityEngine.Material)
scene001292,1,0.447,0.778,055.74,0.605,0.499,0.369,-03.02,009.3,-063.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001293,0,0.280,0.328,033.90,0.404,0.361,0.355,07.77,-003.1,161.5,UniteWhiteBalanced (UnityEngine.Material)
scene001294,0,0.173,0.302,049.34,0.396,0.484,0.303,-05.74,-009.7,-060.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001295,0,0.202,0.256,056.71,0.556,0.419,0.433,-07.76,-007.6,026.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001296,0,0.216,0.212,097.22,0.678,0.378,0.442,-05.16,-000.7,-173.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001297,0,0.136,0.267,004.61,0.402,0.575,0.339,-00.72,-007.2,-085.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001298,0,0.144,0.344,042.11,0.588,0.490,0.623,09.18,-001.4,139.8,GareoultWhiteBalanced (UnityEngine.Material)
scene001299,0,0.119,0.281,044.07,0.612,0.583,0.523,-02.62,004.7,153.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001300,1,0.385,0.804,024.11,0.561,0.691,0.473,03.50,-003.1,-061.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001301,1,0.445,0.848,044.99,0.488,0.421,0.489,-02.28,-004.6,-145.5,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001302,1,0.471,0.935,063.42,0.557,0.426,0.520,07.79,007.6,-061.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001303,1,0.375,0.824,015.63,0.552,0.509,0.528,-07.45,002.2,-082.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001304,0,0.182,0.370,031.82,0.492,0.459,0.444,-00.12,-006.2,-150.0,UniteWhiteBalanced (UnityEngine.Material)
scene001305,0,0.134,0.342,041.98,0.556,0.685,0.506,-02.26,007.4,-104.6,UniteWhiteBalanced (UnityEngine.Material)
scene001306,1,0.401,0.782,087.71,0.604,0.353,0.640,07.57,-003.1,-054.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001307,0,0.143,0.370,005.88,0.347,0.622,0.455,03.34,004.2,023.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001308,0,0.123,0.397,046.25,0.324,0.590,0.626,04.88,-005.9,-010.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001309,0,0.106,0.266,059.94,0.614,0.655,0.361,-07.32,-006.4,-101.4,GareoultWhiteBalanced (UnityEngine.Material)
scene001310,1,0.314,0.907,073.56,0.574,0.473,0.665,-02.88,-002.5,-023.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001311,1,0.364,0.940,031.56,0.348,0.542,0.595,-01.12,006.6,012.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001312,1,0.476,0.794,081.32,0.505,0.588,0.561,-06.59,-001.3,-081.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001313,1,0.451,0.895,084.60,0.333,0.547,0.653,04.34,007.9,042.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001314,0,0.253,0.270,030.19,0.662,0.648,0.358,-06.55,009.1,165.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001315,0,0.241,0.346,071.29,0.595,0.666,0.478,09.92,-005.4,113.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001316,1,0.353,0.886,099.16,0.317,0.572,0.665,02.21,-006.2,-042.1,GareoultWhiteBalanced (UnityEngine.Material)
scene001317,1,0.381,0.925,019.31,0.335,0.394,0.544,02.83,-006.9,-049.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001318,0,0.225,0.370,044.54,0.374,0.675,0.375,-04.62,008.3,127.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001319,0,0.103,0.201,046.36,0.571,0.340,0.577,00.97,-000.4,177.0,GareoultWhiteBalanced (UnityEngine.Material)
scene001320,1,0.486,0.888,042.42,0.609,0.462,0.301,-05.07,002.3,170.0,UniteWhiteBalanced (UnityEngine.Material)
scene001321,1,0.412,0.899,094.61,0.587,0.431,0.537,-00.32,002.7,-092.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001322,1,0.427,0.810,037.46,0.619,0.355,0.543,05.83,000.6,158.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001323,1,0.487,0.928,038.32,0.668,0.466,0.333,09.04,002.5,-017.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001324,0,0.181,0.359,072.13,0.317,0.340,0.570,08.68,007.3,-040.1,GareoultWhiteBalanced (UnityEngine.Material)
scene001325,0,0.297,0.295,020.50,0.480,0.317,0.671,05.99,-006.5,087.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001326,1,0.329,0.927,039.57,0.535,0.412,0.675,01.14,000.7,003.6,GareoultWhiteBalanced (UnityEngine.Material)
scene001327,0,0.250,0.381,008.27,0.577,0.475,0.340,03.78,004.5,-175.5,GareoultWhiteBalanced (UnityEngine.Material)
scene001328,0,0.267,0.262,042.34,0.685,0.443,0.489,04.56,008.3,102.7,UniteWhiteBalanced (UnityEngine.Material)
scene001329,1,0.491,0.806,068.05,0.420,0.670,0.309,06.09,005.3,-167.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001330,1,0.357,0.772,004.18,0.580,0.461,0.666,-00.88,-007.4,135.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001331,0,0.240,0.212,046.34,0.397,0.521,0.495,-00.05,006.8,156.1,UniteWhiteBalanced (UnityEngine.Material)
scene001332,1,0.443,0.824,065.27,0.551,0.508,0.317,-00.13,001.6,094.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001333,1,0.348,0.899,038.64,0.465,0.413,0.318,06.72,008.2,-108.2,GareoultWhiteBalanced (UnityEngine.Material)
scene001334,1,0.469,0.872,072.96,0.306,0.442,0.440,-00.51,003.8,-167.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001335,1,0.392,0.759,062.17,0.678,0.542,0.667,04.95,-006.2,130.1,UniteWhiteBalanced (UnityEngine.Material)
scene001336,1,0.349,0.938,007.83,0.426,0.652,0.383,-02.73,007.5,158.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001337,1,0.383,0.867,004.90,0.352,0.342,0.589,-05.02,007.7,-112.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001338,1,0.344,0.853,071.74,0.454,0.329,0.414,00.56,004.8,061.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001339,0,0.103,0.263,088.81,0.524,0.355,0.551,-02.26,-004.3,-177.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001340,1,0.386,0.757,014.69,0.684,0.609,0.563,09.79,-002.7,173.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001341,0,0.153,0.372,053.12,0.695,0.615,0.694,03.18,000.8,-047.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001342,1,0.443,0.889,064.85,0.323,0.429,0.323,-00.24,-006.0,174.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001343,0,0.281,0.367,031.84,0.632,0.695,0.572,02.99,-001.4,164.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001344,0,0.218,0.256,077.65,0.457,0.504,0.449,-05.20,007.0,-163.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001345,0,0.243,0.305,079.54,0.561,0.678,0.567,03.95,003.5,041.6,UniteWhiteBalanced (UnityEngine.Material)
scene001346,0,0.168,0.205,033.96,0.651,0.395,0.598,-09.10,003.3,043.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001347,0,0.154,0.350,033.63,0.327,0.362,0.412,00.57,000.4,107.2,GareoultWhiteBalanced (UnityEngine.Material)
scene001348,0,0.155,0.300,011.17,0.601,0.685,0.531,-04.91,006.7,-056.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001349,1,0.479,0.926,084.45,0.457,0.521,0.389,-01.77,-005.2,063.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001350,0,0.285,0.299,011.96,0.567,0.516,0.464,06.64,000.4,061.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001351,0,0.262,0.222,027.92,0.586,0.586,0.308,-00.14,008.5,-090.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001352,0,0.228,0.224,078.69,0.445,0.352,0.397,-06.74,001.2,006.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001353,0,0.179,0.271,017.22,0.379,0.467,0.308,04.36,002.3,100.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001354,0,0.266,0.335,077.72,0.447,0.678,0.585,09.40,004.9,038.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001355,0,0.266,0.250,091.46,0.596,0.444,0.476,01.14,003.0,-160.9,UniteWhiteBalanced (UnityEngine.Material)
scene001356,0,0.134,0.303,031.12,0.614,0.321,0.482,08.64,002.5,-074.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001357,0,0.146,0.325,099.41,0.339,0.582,0.466,-00.71,-007.5,112.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001358,0,0.105,0.233,025.71,0.515,0.526,0.553,-09.22,002.4,005.8,UniteWhiteBalanced (UnityEngine.Material)
scene001359,1,0.372,0.813,048.22,0.533,0.477,0.511,00.86,-009.9,152.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001360,0,0.128,0.256,015.96,0.419,0.437,0.545,-01.01,007.5,-124.8,UniteWhiteBalanced (UnityEngine.Material)
scene001361,0,0.295,0.251,044.45,0.454,0.383,0.382,-00.30,-009.5,-049.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001362,0,0.138,0.392,085.28,0.589,0.323,0.699,-06.36,-008.0,-063.5,UniteWhiteBalanced (UnityEngine.Material)
scene001363,0,0.122,0.286,094.59,0.692,0.539,0.325,-02.11,-008.3,-067.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001364,0,0.165,0.308,082.82,0.558,0.603,0.667,00.56,001.6,-111.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001365,1,0.348,0.776,021.98,0.406,0.342,0.454,-01.93,006.5,-170.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001366,1,0.452,0.922,048.74,0.679,0.486,0.388,00.57,-004.4,148.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001367,0,0.156,0.304,030.47,0.385,0.589,0.515,-04.15,-008.7,097.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001368,1,0.413,0.929,032.53,0.330,0.501,0.383,05.61,009.9,-101.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001369,1,0.340,0.946,077.19,0.314,0.532,0.511,09.15,007.6,-120.9,UniteWhiteBalanced (UnityEngine.Material)
scene001370,1,0.451,0.761,069.35,0.612,0.306,0.526,08.65,005.5,120.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001371,0,0.181,0.380,086.25,0.371,0.427,0.462,00.17,004.5,036.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001372,0,0.282,0.276,068.53,0.566,0.597,0.309,-09.19,-003.7,-022.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001373,1,0.341,0.924,095.61,0.637,0.373,0.532,00.71,004.8,147.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001374,1,0.356,0.929,048.48,0.475,0.463,0.352,-04.26,001.7,-038.7,UniteWhiteBalanced (UnityEngine.Material)
scene001375,0,0.207,0.255,052.37,0.401,0.498,0.302,03.38,-008.9,134.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001376,1,0.322,0.906,009.19,0.330,0.669,0.329,00.92,-006.0,-142.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001377,0,0.207,0.227,081.69,0.575,0.674,0.392,00.82,-009.5,-073.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001378,1,0.425,0.837,091.11,0.503,0.415,0.673,09.68,007.9,089.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001379,1,0.314,0.820,033.74,0.481,0.687,0.342,07.65,002.7,074.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001380,0,0.127,0.297,071.02,0.617,0.365,0.454,-06.02,-000.5,133.3,GareoultWhiteBalanced (UnityEngine.Material)
scene001381,1,0.445,0.876,011.63,0.530,0.540,0.596,05.29,002.6,-047.3,UniteWhiteBalanced (UnityEngine.Material)
scene001382,1,0.460,0.758,040.31,0.598,0.449,0.311,-02.50,-006.1,-093.4,GareoultWhiteBalanced (UnityEngine.Material)
scene001383,1,0.412,0.907,070.29,0.361,0.397,0.393,-00.74,006.1,-138.0,UniteWhiteBalanced (UnityEngine.Material)
scene001384,1,0.325,0.753,007.87,0.527,0.670,0.391,-04.60,003.7,-140.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001385,0,0.134,0.250,086.15,0.696,0.371,0.446,-04.93,002.9,-087.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001386,1,0.452,0.854,066.80,0.489,0.499,0.600,-08.02,000.6,024.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001387,1,0.430,0.762,058.11,0.355,0.421,0.670,-08.37,-009.3,-120.1,GareoultWhiteBalanced (UnityEngine.Material)
scene001388,0,0.280,0.263,091.29,0.661,0.649,0.503,-04.54,-003.8,118.6,UniteWhiteBalanced (UnityEngine.Material)
scene001389,0,0.156,0.386,084.91,0.451,0.628,0.608,-02.19,-009.7,105.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001390,0,0.169,0.312,007.19,0.613,0.505,0.630,09.71,009.6,-044.6,UniteWhiteBalanced (UnityEngine.Material)
scene001391,1,0.404,0.876,023.92,0.600,0.427,0.417,-08.40,-006.0,113.3,GareoultWhiteBalanced (UnityEngine.Material)
scene001392,0,0.294,0.353,018.52,0.342,0.576,0.522,-01.63,-000.5,-013.8,GareoultWhiteBalanced (UnityEngine.Material)
scene001393,1,0.308,0.916,014.70,0.347,0.475,0.337,-01.79,007.4,-083.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001394,1,0.370,0.758,066.79,0.597,0.593,0.608,01.43,-006.8,026.4,GareoultWhiteBalanced (UnityEngine.Material)
scene001395,1,0.488,0.850,061.80,0.344,0.380,0.490,-07.29,-006.8,052.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001396,0,0.166,0.254,060.92,0.593,0.580,0.472,-00.05,-002.4,065.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001397,0,0.298,0.210,062.49,0.536,0.331,0.646,-07.79,006.3,155.5,UniteWhiteBalanced (UnityEngine.Material)
scene001398,1,0.403,0.781,034.10,0.331,0.431,0.395,08.75,-006.9,-116.0,GareoultWhiteBalanced (UnityEngine.Material)
scene001399,0,0.271,0.346,051.24,0.382,0.679,0.309,07.28,006.4,179.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001400,1,0.495,0.944,025.13,0.436,0.516,0.400,-01.61,-006.4,163.6,GareoultWhiteBalanced (UnityEngine.Material)
scene001401,1,0.348,0.783,034.29,0.606,0.367,0.339,-05.90,003.8,-071.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001402,0,0.197,0.348,009.20,0.435,0.624,0.400,-08.12,003.1,-106.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001403,0,0.211,0.388,012.21,0.400,0.629,0.483,05.71,-007.8,-178.6,GareoultWhiteBalanced (UnityEngine.Material)
scene001404,0,0.265,0.385,057.05,0.322,0.377,0.437,07.32,-000.2,147.1,GareoultWhiteBalanced (UnityEngine.Material)
scene001405,0,0.243,0.371,040.96,0.581,0.487,0.579,00.10,005.3,107.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001406,1,0.436,0.915,078.93,0.303,0.520,0.592,03.51,009.5,132.3,GareoultWhiteBalanced (UnityEngine.Material)
scene001407,0,0.241,0.393,049.46,0.634,0.410,0.546,-09.42,007.2,029.0,UniteWhiteBalanced (UnityEngine.Material)
scene001408,1,0.497,0.950,007.00,0.555,0.337,0.439,-01.14,-004.0,-163.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001409,0,0.297,0.357,092.23,0.357,0.629,0.532,-07.38,-005.6,-088.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001410,0,0.237,0.334,094.39,0.435,0.620,0.700,-01.90,004.8,-098.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001411,1,0.384,0.866,038.75,0.564,0.307,0.391,-08.90,007.9,-118.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001412,1,0.397,0.821,052.55,0.313,0.355,0.675,-01.90,009.7,-056.2,UniteWhiteBalanced (UnityEngine.Material)
scene001413,1,0.382,0.850,019.63,0.312,0.420,0.629,03.61,-007.9,-171.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001414,1,0.485,0.881,094.17,0.502,0.319,0.487,-04.90,000.5,-024.3,UniteWhiteBalanced (UnityEngine.Material)
scene001415,1,0.347,0.821,015.11,0.439,0.699,0.577,-03.79,-000.9,-166.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001416,1,0.487,0.801,025.42,0.636,0.370,0.342,02.98,005.5,168.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001417,1,0.445,0.897,054.79,0.563,0.318,0.435,-04.41,002.3,178.6,GareoultWhiteBalanced (UnityEngine.Material)
scene001418,1,0.372,0.783,075.71,0.549,0.658,0.496,09.36,004.1,147.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001419,0,0.203,0.311,045.40,0.444,0.473,0.646,08.06,-000.5,-136.0,UniteWhiteBalanced (UnityEngine.Material)
scene001420,0,0.216,0.377,091.81,0.566,0.402,0.367,-04.19,001.6,-151.5,UniteWhiteBalanced (UnityEngine.Material)
scene001421,0,0.271,0.301,025.71,0.485,0.466,0.570,05.91,009.9,-069.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001422,0,0.152,0.222,012.75,0.510,0.679,0.543,-03.48,005.1,102.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001423,1,0.323,0.777,053.65,0.307,0.443,0.378,03.95,-000.1,-080.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001424,1,0.474,0.878,051.20,0.538,0.521,0.349,-06.03,007.2,-052.0,UniteWhiteBalanced (UnityEngine.Material)
scene001425,1,0.460,0.777,013.96,0.559,0.374,0.406,02.55,-005.8,159.6,GareoultWhiteBalanced (UnityEngine.Material)
scene001426,0,0.174,0.208,098.60,0.342,0.461,0.537,03.20,-000.8,177.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001427,1,0.462,0.772,090.76,0.308,0.313,0.357,-05.09,007.9,009.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001428,1,0.440,0.769,080.35,0.379,0.318,0.378,07.03,-009.3,109.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001429,1,0.400,0.798,011.26,0.523,0.307,0.371,-03.89,-008.1,-070.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001430,1,0.381,0.763,098.94,0.478,0.321,0.434,04.85,009.2,-063.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001431,0,0.194,0.376,015.16,0.436,0.325,0.602,-09.38,006.6,-083.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001432,0,0.138,0.256,033.28,0.425,0.396,0.569,07.01,-008.4,060.9,UniteWhiteBalanced (UnityEngine.Material)
scene001433,1,0.440,0.917,073.83,0.402,0.370,0.426,05.73,009.1,-074.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001434,1,0.364,0.824,004.44,0.467,0.648,0.354,-03.33,009.8,-134.5,GareoultWhiteBalanced (UnityEngine.Material)
scene001435,0,0.250,0.259,073.17,0.599,0.583,0.396,00.46,-005.6,-131.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001436,0,0.117,0.316,007.51,0.550,0.559,0.661,-00.58,002.1,122.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001437,0,0.141,0.373,089.84,0.399,0.679,0.453,-08.63,005.8,139.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001438,1,0.346,0.914,083.90,0.599,0.498,0.422,07.15,000.0,-141.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001439,1,0.325,0.777,078.11,0.381,0.582,0.567,-00.13,-005.7,-079.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001440,1,0.461,0.828,018.10,0.343,0.383,0.615,-05.08,006.7,-129.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001441,1,0.442,0.783,067.81,0.610,0.578,0.308,08.79,007.7,-027.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001442,0,0.266,0.238,047.23,0.460,0.374,0.522,05.44,-001.3,-014.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001443,0,0.151,0.240,037.87,0.578,0.390,0.521,-04.08,-005.0,-148.5,UniteWhiteBalanced (UnityEngine.Material)
scene001444,0,0.139,0.247,096.21,0.619,0.531,0.537,-07.42,007.0,-023.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001445,1,0.447,0.898,080.71,0.679,0.320,0.474,-00.66,004.9,-172.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001446,0,0.203,0.211,010.10,0.463,0.631,0.598,-06.25,-000.2,012.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001447,0,0.261,0.296,050.58,0.484,0.454,0.429,-04.26,008.6,-111.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001448,1,0.455,0.944,083.03,0.393,0.400,0.342,09.18,009.5,015.8,UniteWhiteBalanced (UnityEngine.Material)
scene001449,1,0.412,0.810,086.50,0.605,0.470,0.662,00.50,009.6,-170.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001450,0,0.246,0.337,030.22,0.340,0.665,0.625,-06.49,-008.3,015.2,UniteWhiteBalanced (UnityEngine.Material)
scene001451,0,0.228,0.350,092.73,0.622,0.436,0.484,07.98,005.4,-130.9,UniteWhiteBalanced (UnityEngine.Material)
scene001452,1,0.364,0.862,058.96,0.307,0.553,0.505,08.70,-003.3,-019.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001453,0,0.123,0.379,009.30,0.648,0.518,0.371,06.80,008.9,112.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001454,1,0.407,0.822,050.24,0.441,0.604,0.497,08.47,-008.7,082.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene001455,1,0.412,0.899,023.63,0.489,0.439,0.474,05.21,-005.4,-178.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001456,1,0.319,0.803,089.55,0.559,0.653,0.587,00.63,009.7,010.1,UniteWhiteBalanced (UnityEngine.Material)
scene001457,1,0.463,0.893,099.00,0.309,0.438,0.303,-09.94,006.0,132.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001458,1,0.321,0.948,034.66,0.514,0.637,0.332,-08.66,001.4,161.9,GareoultWhiteBalanced (UnityEngine.Material)
scene001459,0,0.186,0.278,029.97,0.692,0.570,0.649,-05.04,009.5,173.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene001460,0,0.215,0.253,010.67,0.592,0.473,0.526,05.84,008.7,-006.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene001461,1,0.460,0.808,086.00,0.489,0.586,0.655,-03.13,006.7,101.7,UniteWhiteBalanced (UnityEngine.Material)
scene001462,0,0.280,0.363,083.13,0.567,0.362,0.667,-09.25,-004.0,173.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene001463,0,0.114,0.297,067.99,0.333,0.424,0.666,-00.16,001.3,163.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
